name_x,height_x,weight_x,reach_x,fx_win,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,name_y,height_y,weight_y,reach_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y,stance_x_Open Stance,stance_x_Orthodox,stance_x_Sideways,stance_x_Southpaw,stance_x_Switch,stance_y_Open Stance,stance_y_Orthodox,stance_y_Sideways,stance_y_Southpaw,stance_y_Switch
Ion Cutelaba,1.85,205.0,1.9,1,25.79,7.78,0.46,5.67,0.58,0.0,0.0,0.0,0.0,0.78,Khalil Rountree Jr.,1.85,205.0,1.93,29.59,4.89,0.42,6.26,0.58,0.0,0.0,0.67,0.45,0.75,0,0,0,1,0,0,0,0,1,0
Ion Cutelaba,1.85,205.0,1.9,0,26.21,9.07,0.64,8.38,0.64,3.75,0.8,0.0,0.0,0.79,Magomed Ankalaev,1.91,205.0,1.9,27.74,5.92,0.67,4.45,0.6,0.69,0.33,0.31,0.0,1.0,0,0,0,1,0,0,1,0,0,0
Irene Aldana,1.75,135.0,1.73,0,29.04,7.2,0.42,11.47,0.43,1.0,1.0,0.0,0.0,0.8,Katlyn Chookagian,1.75,125.0,1.73,28.28,4.37,0.41,4.53,0.47,0.0,0.0,0.45,0.0,0.89,0,1,0,0,0,0,1,0,0,0
Irene Aldana,1.75,135.0,1.73,1,29.8,6.43,0.4,9.27,0.41,0.5,1.0,0.0,0.0,0.82,Talita Bernardo,1.63,135.0,1.73,30.87,2.55,0.34,2.55,0.34,3.02,0.43,0.43,1.01,0.71,0,1,0,0,0,0,1,0,0,0
Irene Aldana,1.75,135.0,1.73,1,30.45,7.58,0.46,7.82,0.44,0.67,0.67,0.05,0.0,0.75,Lucie Pudilova,1.73,125.0,1.7,24.24,7.53,0.53,6.93,0.49,0.0,0.0,0.29,0.67,0.6,0,1,0,0,0,0,1,0,0,0
Irene Aldana,1.75,135.0,1.73,0,31.32,7.5,0.46,6.4,0.38,0.26,0.33,0.05,0.26,0.79,Raquel Pennington,1.7,135.0,1.7,30.87,4.78,0.56,4.78,0.56,1.11,0.23,0.23,0.89,0.53,0,1,0,0,0,0,1,0,0,0
Irene Aldana,1.75,135.0,1.73,1,31.72,6.97,0.4,5.96,0.34,0.0,0.0,0.14,0.26,0.75,Ketlen Vieira,1.73,135.0,1.73,28.3,5.29,0.51,5.31,0.49,2.21,0.57,0.44,0.83,0.9,0,1,0,0,0,0,1,0,0,0
Isaac Vallie-Flagg,1.73,155.0,1.73,0,36.05,5.53,0.46,3.37,0.5,0.0,0.0,0.25,0.0,0.68,Takanori Gomi,1.7,155.0,1.78,35.59,6.46,0.5,6.46,0.5,0.36,0.33,0.33,0.0,0.74,0,1,0,0,0,0,0,0,1,0
Isaac Vallie-Flagg,1.73,155.0,1.73,0,36.62,8.38,0.55,5.64,0.55,0.33,0.33,0.25,0.0,0.65,Matt Wiman,1.78,155.0,1.73,31.18,4.61,0.55,5.77,0.6,2.72,0.29,0.33,1.94,0.64,0,1,0,0,0,0,1,0,0,0
Islam Makhachev,1.78,155.0,1.78,1,25.3,4.43,0.61,2.7,0.52,4.3,0.78,1.0,1.84,1.0,Nik Lentz,1.73,155.0,1.73,32.5,5.95,0.62,5.95,0.62,4.16,0.37,0.37,1.19,0.7,0,1,0,0,0,0,1,0,0,0
