f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,event_name,event_date
"
              Vitor Miranda
            ","
              Jake Collier
            ",14,15,0,2,0,1,0,3,"
        Middleweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        1
      ","

        
        4:59
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Jon Jones
            ","
              Daniel Cormier
            ",92,58,3,1,0,0,0,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Donald Cerrone
            ","
              Myles Jury
            ",37,15,1,1,2,0,2,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Brad Tavares
            ","
              Nate Marquardt
            ",50,30,1,0,0,0,0,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Kyoji Horiguchi
            ","
              Louis Gaudinot
            ",44,23,1,0,0,2,0,0,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Hector Lombard
            ","
              Joshua Burkman
            ",53,42,2,0,0,0,2,0,"
        Welterweight","
        
        

        Overturned

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Paul Felder
            ","
              Danny Castillo
            ",33,21,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Spinning Back Fist
      ","

        2
      ","

        
        2:09
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Cody Garbrandt
            ","
              Marcus Brimage
            ",49,43,1,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        4:50
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Shawn Jordan
            ","
              Jared Cannonier
            ",12,10,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:57
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Evan Dunham
            ","
              Rodrigo Damm
            ",152,47,1,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Omari Akhmedov
            ","
              Mats Nilsson
            ",64,33,5,5,0,3,0,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Marion Reneau
            ","
              Alexis Dufresne
            ",85,28,0,0,0,0,0,0,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 182: Jones vs Cormier
            ","
      ,
      January 03, 2015
    "
"
              Conor McGregor
            ","
              Dennis Siver
            ",64,32,0,0,0,0,1,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        1:54
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Donald Cerrone
            ","
              Benson Henderson
            ",57,86,1,0,0,0,1,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Uriah Hall
            ","
              Ron Stallings
            ",27,10,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        
      ","

        1
      ","

        
        3:37
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
"
              Gleison Tibau
            ","
              Norman Parke
            ",38,43,2,0,0,0,0,0,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: McGregor vs Siver
            ","
      ,
      January 18, 2015
    "
