f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,event_name,event_date
"
              Paul Kelly
            ","
              Troy Mandaloniz
            ",71,38,2,4,0,0,0,5,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 95: Sanchez vs Stevenson
            ","
      ,
      February 21, 2009
    "
"
              Rampage Jackson
            ","
              Keith Jardine
            ",56,64,2,0,0,0,1,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Shane Carwin
            ","
              Gabriel Gonzaga
            ",4,5,0,1,0,0,0,1,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:09
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Matt Brown
            ","
              Pete Sell
            ",24,0,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        1:32
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Matt Hamill
            ","
              Mark Munoz
            ",23,14,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        1
      ","

        
        3:53
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Gray Maynard
            ","
              Jim Miller
            ",37,25,1,0,0,1,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Tamdan McCrory
            ","
              Ryan Madigan
            ",12,0,1,0,0,0,5,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Elbows
      ","

        1
      ","

        
        3:35
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Kendall Grove
            ","
              Jason Day
            ",10,6,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:32
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Jason Brilz
            ","
              Tim Boetsch
            ",34,27,4,0,1,0,6,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Brandon Vera
            ","
              Michael Patt
            ",32,5,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Kicks
      ","

        2
      ","

        
        1:27
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Shane Nelson
            ","
              Aaron Riley
            ",5,4,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:44
      ","
              UFC 96: Jackson vs Jardine
            ","
      ,
      March 07, 2009
    "
"
              Martin Kampmann
            ","
              Carlos Condit
            ",26,35,5,3,6,3,3,4,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Ryan Bader
            ","
              Carmelo Marrero
            ",24,9,5,0,2,0,10,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Tyson Griffin
            ","
              Rafael Dos Anjos
            ",69,26,1,0,0,3,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Cole Miller
            ","
              Junie Browning
            ",3,1,0,0,1,0,0,1,"
        Lightweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        1
      ","

        
        1:58
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Gleison Tibau
            ","
              Jeremy Stephens
            ",7,23,5,0,3,0,9,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Ricardo Almeida
            ","
              Matt Horwich
            ",41,25,9,0,1,3,3,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Brock Larson
            ","
              Jesse Sanders
            ",13,0,1,0,1,0,2,0,"
        Welterweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        2:01
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Tim Credeur
            ","
              Nick Catone
            ",9,19,0,3,7,0,0,3,"
        Middleweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        2
      ","

        
        3:45
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Jorge Rivera
            ","
              Nissen Osterneck
            ",29,35,4,1,0,1,1,2,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Rob Kimmons
            ","
              Joe Vedepo
            ",7,4,0,1,2,0,0,0,"
        Middleweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        1
      ","

        
        1:54
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Aaron Simpson
            ","
              Tim McKenzie
            ",16,1,1,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        1:40
      ","
              UFC Fight Night: Condit vs Kampmann
            ","
      ,
      April 01, 2009
    "
"
              Anderson Silva
            ","
              Thales Leites
            ",94,10,0,1,0,0,0,1,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Sam Stout
            ","
              Matt Wiman
            ",62,46,0,4,0,2,1,1,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Mauricio Rua
            ","
              Chuck Liddell
            ",24,8,0,1,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:28
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Krzysztof Soszynski
            ","
              Brian Stann
            ",3,8,2,0,2,0,4,0,"
        Light Heavyweight","
        
        

        SUB

      ","
        Kimura
      ","

        1
      ","

        
        3:53
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Cheick Kongo
            ","
              Antoni Hardonk
            ",53,9,2,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        2:29
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Luiz Cane
            ","
              Steve Cantwell
            ",87,69,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Denis Kang
            ","
              Xavier Foupa-Pokam
            ",31,23,5,0,1,0,7,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Nate Quarry
            ","
              Jason MacDonald
            ",16,1,1,0,0,0,1,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Elbows
      ","

        1
      ","

        
        2:27
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Ed Herman
            ","
              David Loiseau
            ",71,6,5,0,0,0,9,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Mark Bocek
            ","
              David Bielkheden
            ",20,4,1,0,1,0,6,0,"
        Lightweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        4:57
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              TJ Grant
            ","
              Ryo Chonan
            ",34,31,3,2,0,0,7,0,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Eliot Marshall
            ","
              Vinny Magalhaes
            ",44,34,0,2,0,0,0,3,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 97: Redemption
            ","
      ,
      April 18, 2009
    "
"
              Lyoto Machida
            ","
              Rashad Evans
            ",28,4,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        3:57
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Matt Hughes
            ","
              Matt Serra
            ",34,14,3,1,0,0,4,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Drew McFedries
            ","
              Xavier Foupa-Pokam
            ",8,0,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        0:37
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Chael Sonnen
            ","
              Dan Miller
            ",36,9,3,0,0,2,2,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Frankie Edgar
            ","
              Sean Sherk
            ",74,27,1,1,1,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Brock Larson
            ","
              Mike Pyle
            ",4,1,1,0,1,0,2,0,"
        Welterweight","
        
        

        SUB

      ","
        Arm Triangle
      ","

        1
      ","

        
        3:06
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Tim Hague
            ","
              Pat Barry
            ",0,3,1,0,1,0,1,0,"
        Heavyweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        1
      ","

        
        1:42
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Kyle Bradley
            ","
              Phillipe Nover
            ",7,3,1,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        1:03
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Krzysztof Soszynski
            ","
              Andre Gusmao
            ",18,17,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:17
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Yoshiyuki Yoshida
            ","
              Brandon Wolff
            ",4,2,0,0,1,0,1,0,"
        Welterweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        1
      ","

        
        2:24
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              George Roop
            ","
              David Kaplan
            ",62,50,0,5,0,0,0,2,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 98: Evans vs Machida
            ","
      ,
      May 23, 2009
    "
"
              Rich Franklin
            ","
              Wanderlei Silva
            ",52,38,1,1,0,0,2,0,"
        Catch Weight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Cain Velasquez
            ","
              Cheick Kongo
            ",29,21,7,1,2,0,11,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Mirko Cro Cop
            ","
              Mostapha Al-Turk
            ",16,7,1,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        3:06
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Mike Swick
            ","
              Ben Saunders
            ",10,17,1,0,1,0,1,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        3:47
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Spencer Fisher
            ","
              Caol Uno
            ",62,24,1,3,0,0,1,3,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Dan Hardy
            ","
              Marcus Davis
            ",28,19,1,2,0,3,0,2,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Terry Etim
            ","
              Justin Buchholz
            ",27,23,0,0,3,0,1,0,"
        Lightweight","
        
        

        SUB

      ","
        D'Arce Choke
      ","

        2
      ","

        
        2:38
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Dennis Siver
            ","
              Dale Hartt
            ",8,5,0,1,2,0,2,1,"
        Lightweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        3:23
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Paul Taylor
            ","
              Peter Sobotta
            ",46,18,0,2,0,0,3,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Paul Kelly
            ","
              Rolando Delgado
            ",32,14,1,1,2,3,4,3,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Stefan Struve
            ","
              Denis Stojnic
            ",4,16,0,0,7,0,1,0,"
        Heavyweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        2:37
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              John Hathaway
            ","
              Rick Story
            ",31,21,4,4,3,5,3,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 99: The Comeback
            ","
      ,
      June 13, 2009
    "
"
              Diego Sanchez
            ","
              Clay Guida
            ",68,29,1,2,3,0,1,0,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              James Wilks
            ","
              DaMarques Johnson
            ",17,13,2,0,8,0,1,0,"
        Welterweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        4:54
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Chris Lytle
            ","
              Kevin Burns
            ",101,69,0,1,0,0,0,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Ross Pearson
            ","
              Andre Winner
            ",74,46,0,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Joe Stevenson
            ","
              Nate Diaz
            ",27,6,8,1,1,4,3,1,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Melvin Guillard
            ","
              Gleison Tibau
            ",13,14,1,6,0,0,0,6,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Brad Blackburn
            ","
              Edgar Garcia
            ",66,39,0,1,1,0,0,0,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Tomasz Drwal
            ","
              Mike Ciesnolevicz
            ",27,3,4,0,0,0,4,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Knee
      ","

        1
      ","

        
        4:48
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Nick Osipczak
            ","
              Frank Lester
            ",14,8,1,0,1,0,1,0,"
        Welterweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        3:40
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Jason Dent
            ","
              Cameron Dollar
            ",14,24,0,0,1,0,0,0,"
        Lightweight","
        
        

        SUB

      ","
        Anaconda Choke
      ","

        1
      ","

        
        4:46
      ","
              The Ultimate Fighter: Team US vs Team UK Finale
            ","
      ,
      June 20, 2009
    "
"
              Jon Fitch
            ","
              Paulo Thiago
            ",15,5,4,0,1,5,4,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Brock Lesnar
            ","
              Frank Mir
            ",47,4,1,0,0,0,2,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        1:48
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Georges St-Pierre
            ","
              Thiago Alves
            ",59,30,10,0,1,0,13,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Dan Henderson
            ","
              Michael Bisping
            ",29,22,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        3:20
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Yoshihiro Akiyama
            ","
              Alan Belcher
            ",55,76,3,0,0,0,2,0,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Mark Coleman
            ","
              Stephan Bonnar
            ",20,26,3,0,0,3,3,1,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Jim Miller
            ","
              Mac Danzig
            ",37,20,6,0,1,1,2,1,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Jon Jones
            ","
              Jake O'Brien
            ",25,11,0,0,1,0,0,0,"
        Light Heavyweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        2
      ","

        
        2:43
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Dong Hyun Kim
            ","
              TJ Grant
            ",29,22,4,1,1,0,1,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Tom Lawlor
            ","
              CB Dollaway
            ",0,1,0,0,1,0,0,0,"
        Middleweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        1
      ","

        
        0:55
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              Shannon Gugerty
            ","
              Matt Grice
            ",1,4,1,0,2,0,2,0,"
        Lightweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        1
      ","

        
        2:36
      ","
              UFC 100
            ","
      ,
      July 11, 2009
    "
"
              BJ Penn
            ","
              Kenny Florian
            ",57,19,1,0,1,0,4,0,"
        Lightweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        4
      ","

        
        3:54
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Anderson Silva
            ","
              Forrest Griffin
            ",13,3,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:23
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Aaron Riley
            ","
              Shane Nelson
            ",50,28,2,0,0,0,1,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Johny Hendricks
            ","
              Amir Sadollah
            ",7,2,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        0:29
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Ricardo Almeida
            ","
              Kendall Grove
            ",38,25,6,0,0,2,2,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Kurt Pellegrino
            ","
              Josh Neer
            ",21,24,3,0,0,1,6,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              John Howard
            ","
              Tamdan McCrory
            ",19,11,5,2,1,1,3,3,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Alessio Sakara
            ","
              Thales Leites
            ",24,22,0,4,0,0,0,6,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Matthew Riddle
            ","
              Dan Cramer
            ",47,5,2,0,2,1,9,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              George Sotiropoulos
            ","
              George Roop
            ",14,5,3,0,1,0,8,0,"
        Lightweight","
        
        

        SUB

      ","
        Kimura
      ","

        2
      ","

        
        1:59
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Jesse Lennox
            ","
              Danillo Villefort
            ",37,43,1,1,0,1,0,1,"
        Welterweight","
        
        

        KO/TKO

      ","
        
      ","

        3
      ","

        
        3:37
      ","
              UFC 101: Declaration
            ","
      ,
      August 08, 2009
    "
"
              Minotauro Nogueira
            ","
              Randy Couture
            ",27,42,0,0,3,0,4,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Thiago Silva
            ","
              Keith Jardine
            ",5,3,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:35
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Jake Rosholt
            ","
              Chris Leben
            ",21,14,3,1,1,0,4,1,"
        Middleweight","
        
        

        SUB

      ","
        Arm Triangle
      ","

        3
      ","

        
        1:30
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Nate Marquardt
            ","
              Demian Maia
            ",1,0,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:21
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Brandon Vera
            ","
              Krzysztof Soszynski
            ",62,41,1,1,0,0,0,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Aaron Simpson
            ","
              Ed Herman
            ",25,7,3,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        
      ","

        2
      ","

        
        0:17
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Gabriel Gonzaga
            ","
              Chris Tuchscherer
            ",22,0,0,0,0,0,4,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        2:27
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Mike Russow
            ","
              Justin McCully
            ",21,11,8,0,2,0,3,1,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Todd Duffee
            ","
              Tim Hague
            ",4,0,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:07
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Mark Munoz
            ","
              Nick Catone
            ",53,38,2,3,2,1,2,4,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Evan Dunham
            ","
              Marcus Aurelio
            ",58,27,1,3,0,1,0,2,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 102: Couture vs Nogueira
            ","
      ,
      August 29, 2009
    "
"
              Nate Diaz
            ","
              Melvin Guillard
            ",21,11,2,3,2,0,0,0,"
        Lightweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        2
      ","

        
        2:13
      ","
              UFC Fight Night: Diaz vs Guillard
            ","
      ,
      September 16, 2009
    "
"
              Gray Maynard
            ","
              Roger Huerta
            ",23,40,3,0,1,0,1,0,"
        Lightweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Diaz vs Guillard
            ","
      ,
      September 16, 2009
    "
"
              Carlos Condit
            ","
              Jake Ellenberger
            ",27,28,1,3,1,3,7,0,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Diaz vs Guillard
            ","
      ,
      September 16, 2009
    "
"
              Nate Quarry
            ","
              Tim Credeur
            ",53,40,0,0,0,1,1,1,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Diaz vs Guillard
            ","
      ,
      September 16, 2009
    "
"
              Brian Stann
            ","
              Steve Cantwell
            ",44,35,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Diaz vs Guillard
            ","
      ,
      September 16, 2009
    "
