height_x,weight_x,reach_x,fight_time_sum_x,kds_per_min_x,sub_att_per_min_x,pass_per_min_x,rev_per_min_x,tds_acc_x,tds_succ_per_min_x,tds_att_per_min_x,tot_str_acc_x,tot_str_succ_per_min_x,tot_str_att_per_min_x,sig_str_head_acc_x,sig_str_head_succ_per_min_x,sig_str_head_att_per_min_x,sig_str_body_acc_x,sig_str_body_succ_per_min_x,sig_str_body_att_per_min_x,sig_str_leg_acc_x,sig_str_leg_succ_per_min_x,sig_str_leg_att_per_min_x,sig_str_dist_acc_x,sig_str_dist_succ_per_min_x,sig_str_dist_att_per_min_x,sig_str_clinch_acc_x,sig_str_clinch_succ_per_min_x,sig_str_clinch_att_per_min_x,sig_str_ground_acc_x,sig_str_ground_succ_per_min_x,sig_str_ground_att_per_min_x,age_x,weightclass_Bantamweight_x,weightclass_Catch Weight_x,weightclass_Featherweight_x,weightclass_Flyweight_x,weightclass_Heavyweight_x,weightclass_Light Heavyweight_x,weightclass_Lightweight_x,weightclass_Middleweight_x,weightclass_Open Weight_x,weightclass_Strawweight_x,weightclass_Super Heavyweight_x,weightclass_Welterweight_x,stance_Open Stance_x,stance_Orthodox_x,stance_Sideways_x,stance_Southpaw_x,stance_Switch_x,height_y,weight_y,reach_y,fight_time_sum_y,kds_per_min_y,sub_att_per_min_y,pass_per_min_y,rev_per_min_y,tds_acc_y,tds_succ_per_min_y,tds_att_per_min_y,tot_str_acc_y,tot_str_succ_per_min_y,tot_str_att_per_min_y,sig_str_head_acc_y,sig_str_head_succ_per_min_y,sig_str_head_att_per_min_y,sig_str_body_acc_y,sig_str_body_succ_per_min_y,sig_str_body_att_per_min_y,sig_str_leg_acc_y,sig_str_leg_succ_per_min_y,sig_str_leg_att_per_min_y,sig_str_dist_acc_y,sig_str_dist_succ_per_min_y,sig_str_dist_att_per_min_y,sig_str_clinch_acc_y,sig_str_clinch_succ_per_min_y,sig_str_clinch_att_per_min_y,sig_str_ground_acc_y,sig_str_ground_succ_per_min_y,sig_str_ground_att_per_min_y,age_y,weightclass_Bantamweight_y,weightclass_Catch Weight_y,weightclass_Featherweight_y,weightclass_Flyweight_y,weightclass_Heavyweight_y,weightclass_Light Heavyweight_y,weightclass_Lightweight_y,weightclass_Middleweight_y,weightclass_Open Weight_y,weightclass_Strawweight_y,weightclass_Super Heavyweight_y,weightclass_Welterweight_y,stance_Open Stance_y,stance_Orthodox_y,stance_Sideways_y,stance_Southpaw_y,stance_Switch_y,fx_win
1.83,170.0,1.85,36.95,0.05,0.0,0.08,0.0,0.52,0.3,0.57,0.52,5.68,10.85,0.31,2.03,6.55,0.7,0.95,1.35,0.91,0.27,0.3,0.3,1.41,4.76,0.53,1.03,1.95,0.55,0.81,1.49,36.95,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.85,185.0,1.88,4.329999999999998,0.23,0.0,0.0,0.0,0.0,0.0,0.69,0.74,5.77,7.85,0.65,3.46,5.31,1.0,0.92,0.92,0.75,0.69,0.92,0.73,1.85,2.54,0.8,1.85,2.31,0.6,1.39,2.31,23.53,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1.83,170.0,1.85,51.95,0.04,0.04,0.06,0.0,0.36,0.25,0.69,0.61,6.49,10.72,0.32,1.69,5.24,0.72,0.81,1.12,0.85,0.64,0.75,0.3,1.15,3.79,0.61,1.35,2.19,0.57,0.64,1.12,37.22,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.91,185.0,1.9,53.06999999999999,0.0,0.17,0.24,0.06,0.35,0.13,0.38,0.6,5.18,8.61,0.36,1.77,4.92,0.68,0.32,0.47,0.83,0.19,0.23,0.25,0.92,3.67,0.63,0.41,0.66,0.74,0.94,1.28,34.05,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1.83,170.0,1.85,66.95,0.06,0.03,0.04,0.0,0.36,0.19,0.54,0.57,5.97,10.49,0.34,1.93,5.69,0.66,0.88,1.33,0.85,0.49,0.58,0.33,1.54,4.6,0.6,1.24,2.06,0.56,0.52,0.94,37.58,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.85,185.0,1.9,15.0,0.0,0.0,0.33,0.0,1.0,0.4,0.4,0.78,9.47,12.2,0.45,0.67,1.47,1.0,1.13,1.13,1.0,0.87,0.87,0.47,0.6,1.27,1.0,1.53,1.53,0.8,0.53,0.67,23.82,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.83,170.0,1.85,81.95,0.06,0.02,0.04,0.0,0.32,0.16,0.5,0.59,5.8,9.84,0.37,1.99,5.39,0.69,0.85,1.24,0.88,0.52,0.6,0.36,1.55,4.33,0.63,1.17,1.85,0.62,0.65,1.05,37.98,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.78,170.0,1.88,5.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,4.38,9.31,0.14,0.55,4.01,0.69,1.64,2.37,0.0,0.0,0.18,0.06,0.18,3.28,0.61,2.01,3.28,0.0,0.0,0.0,28.41,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1.83,170.0,1.85,96.95,0.05,0.02,0.06,0.0,0.35,0.2,0.57,0.61,5.9,9.71,0.39,1.96,5.04,0.7,0.83,1.18,0.9,0.56,0.62,0.35,1.36,3.84,0.66,1.18,1.79,0.67,0.8,1.21,38.21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.73,170.0,1.78,123.65999999999998,0.01,0.02,0.09,0.0,0.45,0.19,0.43,0.63,6.62,10.55,0.34,1.73,5.05,0.76,0.57,0.76,0.84,0.57,0.67,0.3,1.27,4.17,0.66,0.83,1.27,0.74,0.77,1.04,32.09,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1.78,170.0,1.85,0.8800000000000008,3.41,0.0,0.0,0.0,0.0,0.0,0.0,0.55,13.64,25.0,0.55,13.64,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,7.95,18.18,1.0,2.27,2.27,0.75,3.41,4.55,31.8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.83,185.0,1.85,71.99,0.04,0.04,0.07,0.0,0.45,0.19,0.43,0.45,4.35,9.72,0.3,1.92,6.49,0.63,0.53,0.83,0.63,0.43,0.68,0.28,1.83,6.46,0.64,0.47,0.74,0.71,0.57,0.81,29.63,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1.78,170.0,1.85,15.88,0.19,0.0,0.0,0.06,0.0,0.0,0.0,0.45,3.53,7.81,0.45,3.09,6.93,0.6,0.19,0.31,0.5,0.19,0.38,0.41,2.77,6.74,0.8,0.5,0.63,0.75,0.19,0.25,32.31,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.83,170.0,1.83,7.93,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.43,4.79,11.1,0.36,3.15,8.83,0.8,0.5,0.63,0.8,0.5,0.63,0.38,3.53,9.21,0.83,0.63,0.76,0.0,0.0,0.13,29.12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1.78,170.0,1.85,20.23,0.2,0.0,0.0,0.05,0.33,0.05,0.15,0.46,4.45,9.59,0.43,3.51,8.16,0.71,0.25,0.35,0.6,0.3,0.49,0.4,3.06,7.66,0.74,0.84,1.14,0.75,0.15,0.2,32.44,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.83,170.0,1.83,12.28,0.0,0.0,0.0,0.0,0.5,0.16,0.33,0.53,6.43,12.21,0.43,3.91,9.12,0.84,1.3,1.55,0.89,0.65,0.73,0.42,3.58,8.63,0.82,1.87,2.28,0.83,0.41,0.49,29.25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1.78,170.0,1.85,24.01,0.21,0.0,0.0,0.04,0.33,0.04,0.12,0.47,4.58,9.83,0.42,3.42,8.08,0.62,0.21,0.33,0.62,0.33,0.54,0.4,3.04,7.62,0.68,0.79,1.17,0.75,0.12,0.17,33.08,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.83,170.0,1.93,40.86,0.05,0.12,0.15,0.05,0.31,0.1,0.32,0.37,3.72,10.16,0.24,1.57,6.63,0.46,0.39,0.86,0.65,0.49,0.76,0.24,1.62,6.78,0.42,0.32,0.76,0.72,0.51,0.71,28.94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1.73,155.0,1.78,8.93,0.11,0.22,0.0,0.0,1.0,0.11,0.11,0.8,10.53,13.1,0.61,2.46,4.03,0.88,3.14,3.58,1.0,0.78,0.78,0.1,0.11,1.12,0.85,3.14,3.7,0.88,3.14,3.58,29.68,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.78,155.0,1.78,29.050000000000004,0.07,0.03,0.28,0.0,0.14,0.1,0.76,0.46,3.92,8.57,0.37,2.31,6.3,0.56,0.34,0.62,0.62,0.17,0.28,0.24,1.2,5.09,0.81,0.45,0.55,0.76,1.17,1.55,24.68,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.73,155.0,1.78,33.879999999999995,0.03,0.06,0.06,0.0,1.0,0.09,0.09,0.59,4.99,8.44,0.4,2.13,5.25,0.89,1.0,1.12,1.0,0.35,0.35,0.3,1.18,3.98,0.83,1.15,1.39,0.85,1.15,1.36,30.14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.78,155.0,1.8,222.10999999999999,0.01,0.07,0.24,0.0,0.59,0.29,0.5,0.5,4.09,8.18,0.29,1.54,5.25,0.75,0.31,0.41,0.89,0.08,0.09,0.26,1.17,4.56,0.69,0.29,0.42,0.61,0.47,0.77,30.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1.73,155.0,1.78,59.059999999999995,0.05,0.03,0.07,0.0,0.59,0.17,0.29,0.5,4.49,8.89,0.35,2.24,6.37,0.84,0.8,0.95,1.0,0.25,0.25,0.27,1.32,4.91,0.67,0.97,1.44,0.82,1.0,1.22,32.14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.78,155.0,1.8,222.10999999999999,0.01,0.07,0.24,0.0,0.59,0.29,0.5,0.5,4.09,8.18,0.29,1.54,5.25,0.75,0.31,0.41,0.89,0.08,0.09,0.26,1.17,4.56,0.69,0.29,0.42,0.61,0.47,0.77,30.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1.78,155.0,1.8,222.10999999999999,0.01,0.07,0.24,0.0,0.59,0.29,0.5,0.5,4.09,8.18,0.29,1.54,5.25,0.75,0.31,0.41,0.89,0.08,0.09,0.26,1.17,4.56,0.69,0.29,0.42,0.61,0.47,0.77,30.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.73,155.0,1.78,33.879999999999995,0.03,0.06,0.06,0.0,1.0,0.09,0.09,0.59,4.99,8.44,0.4,2.13,5.25,0.89,1.0,1.12,1.0,0.35,0.35,0.3,1.18,3.98,0.83,1.15,1.39,0.85,1.15,1.36,30.14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.78,155.0,1.8,278.01,0.01,0.06,0.21,0.0,0.56,0.28,0.5,0.48,3.95,8.17,0.29,1.58,5.38,0.69,0.29,0.43,0.88,0.13,0.15,0.26,1.25,4.79,0.67,0.34,0.51,0.62,0.41,0.66,32.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.73,155.0,1.78,33.879999999999995,0.03,0.06,0.06,0.0,1.0,0.09,0.09,0.59,4.99,8.44,0.4,2.13,5.25,0.89,1.0,1.12,1.0,0.35,0.35,0.3,1.18,3.98,0.83,1.15,1.39,0.85,1.15,1.36,30.14,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.73,155.0,1.78,35.629999999999995,0.03,0.06,0.06,0.0,1.0,0.08,0.08,0.6,4.88,8.17,0.4,2.02,5.0,0.89,0.95,1.07,1.0,0.34,0.34,0.3,1.12,3.79,0.83,1.09,1.32,0.85,1.09,1.29,30.24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.75,155.0,1.73,17.82,0.0,0.17,0.0,0.0,0.83,0.28,0.34,0.42,4.43,10.66,0.33,2.75,8.25,0.6,0.67,1.12,0.69,0.51,0.73,0.36,3.37,9.37,0.5,0.17,0.34,1.0,0.39,0.39,31.03,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1.73,155.0,1.78,42.209999999999994,0.02,0.05,0.09,0.0,0.89,0.19,0.21,0.62,5.26,8.53,0.45,2.39,5.35,0.88,1.07,1.21,1.0,0.36,0.36,0.33,1.3,3.98,0.85,1.18,1.4,0.86,1.33,1.54,30.37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.73,155.0,1.83,61.2,0.03,0.08,0.13,0.03,0.63,0.36,0.57,0.47,4.85,10.38,0.33,2.3,7.04,0.76,0.72,0.95,0.73,0.18,0.25,0.38,2.27,5.98,0.5,0.15,0.29,0.4,0.78,1.96,29.31,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1.73,155.0,1.78,49.739999999999995,0.04,0.04,0.08,0.0,0.67,0.16,0.24,0.56,5.01,9.01,0.39,2.37,6.05,0.84,0.92,1.11,1.0,0.3,0.3,0.29,1.35,4.62,0.74,1.13,1.53,0.86,1.13,1.31,31.22,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8,155.0,1.93,40.97,0.02,0.07,0.02,0.02,0.33,0.02,0.07,0.41,4.74,11.59,0.27,2.27,8.49,0.62,0.44,0.71,0.72,0.76,1.05,0.33,3.34,10.01,0.38,0.07,0.2,1.0,0.05,0.05,30.82,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.73,155.0,1.78,60.81,0.05,0.03,0.07,0.0,0.59,0.16,0.28,0.51,4.44,8.72,0.35,2.17,6.18,0.84,0.77,0.92,1.0,0.25,0.25,0.27,1.28,4.77,0.67,0.94,1.4,0.82,0.97,1.18,32.29,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.8,155.0,1.78,17.72,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.77,3.27,4.23,0.67,1.69,2.54,1.0,0.11,0.11,1.0,0.06,0.06,0.43,0.51,1.19,0.33,0.06,0.17,0.96,1.3,1.35,30.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1.73,155.0,1.78,79.11000000000001,0.04,0.04,0.05,0.0,0.59,0.16,0.28,0.51,4.18,8.13,0.36,2.06,5.76,0.82,0.7,0.85,1.0,0.19,0.19,0.29,1.34,4.59,0.67,0.78,1.18,0.79,0.82,1.04,33.38,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.91,155.0,1.93,55.12,0.02,0.04,0.02,0.04,0.0,0.0,0.04,0.45,5.35,11.87,0.35,3.17,9.0,0.52,0.6,1.14,0.73,0.4,0.54,0.38,3.9,10.3,0.75,0.27,0.36,0.0,0.0,0.02,29.95,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.73,155.0,1.78,89.93,0.03,0.03,0.04,0.0,0.52,0.16,0.3,0.51,3.84,7.55,0.35,1.91,5.4,0.81,0.62,0.77,1.0,0.18,0.18,0.3,1.3,4.39,0.66,0.69,1.05,0.79,0.72,0.91,34.25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.73,155.0,1.73,137.72,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.53,5.82,11.05,0.42,2.81,6.7,0.59,1.47,2.47,0.82,1.11,1.35,0.51,4.94,9.59,0.48,0.25,0.53,0.49,0.2,0.4,32.62,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.91,205.0,1.93,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,4.27,8.27,0.49,3.53,7.2,0.62,0.33,0.53,1.0,0.07,0.07,0.48,3.2,6.73,0.64,0.6,0.93,1.0,0.13,0.13,30.67,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.88,205.0,2.01,15.0,0.0,0.13,0.33,0.0,0.8,0.27,0.33,0.65,7.07,10.8,0.56,2.4,4.27,1.0,0.13,0.13,1.0,0.07,0.07,0.48,1.53,3.2,1.0,0.2,0.2,0.81,0.87,1.07,29.29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.91,205.0,1.93,29.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.47,8.97,0.44,3.33,7.63,0.73,0.37,0.5,1.0,0.2,0.2,0.43,3.07,7.13,0.67,0.73,1.1,1.0,0.1,0.1,31.45,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.93,205.0,2.08,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,4.4,6.33,0.44,1.13,2.6,0.91,1.4,1.53,0.5,0.13,0.27,0.31,0.73,2.33,0.93,1.8,1.93,1.0,0.13,0.13,30.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.96,250.0,2.06,15.0,0.0,0.0,0.07,0.0,0.0,0.0,0.07,0.57,4.87,8.6,0.31,1.53,4.93,0.94,1.0,1.07,0.8,0.27,0.33,0.34,1.73,5.13,1.0,0.73,0.73,0.71,0.33,0.47,26.19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.85,245.0,1.9,15.0,0.07,0.0,0.07,0.0,1.0,0.07,0.07,0.62,4.0,6.4,0.48,1.53,3.2,0.5,0.07,0.13,0.0,0.0,0.0,0.41,0.93,2.27,0.62,0.33,0.53,0.62,0.33,0.53,31.92,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1.96,250.0,2.06,21.980000000000004,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.55,3.96,7.14,0.28,1.14,4.0,0.86,0.86,1.0,0.92,0.5,0.55,0.36,1.64,4.5,1.0,0.55,0.55,0.64,0.32,0.5,26.74,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.85,253.0,1.9,20.120000000000005,0.15,0.15,0.15,0.05,0.0,0.0,0.0,0.69,8.4,12.18,0.53,2.49,4.72,0.54,0.75,1.39,0.71,1.24,1.74,0.44,2.24,5.07,0.93,0.7,0.75,0.76,1.54,2.04,33.36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
