fx_win,sig_str_ground_att_sum_diff,sig_str_ground_succ_sum_diff,age_diff,tds_succ_sum_diff,pass_sum_diff,tds_succ_per_min_diff,tds_att_sum_diff,reach_diff,pass_per_min_diff,sig_str_head_acc_diff,sig_str_dist_acc_diff,tot_str_succ_sum_diff,ufc_losses_diff,sig_str_head_succ_sum_diff,sig_str_ground_att_per_min_diff,sig_str_ground_succ_per_min_diff,tds_att_per_min_diff,fight_time_sum_diff,tds_acc_diff
0,-17.0,-9.0,7.699999999999999,0.0,-2.0,0.0,-1.0,-0.10000000000000009,-0.13,-0.03999999999999998,0.0,-10.0,0,12.0,-1.14,-0.6000000000000001,-0.07,0.0,0.0
0,2.0,2.0,2.990000000000002,0.0,1.0,0.0,1.0,-0.050000000000000044,0.04,0.08000000000000002,0.050000000000000044,9.0,0,25.0,-0.010000000000000009,0.039999999999999994,0.04,11.969999999999999,0.0
1,7.0,6.0,1.1899999999999977,2.0,1.0,0.13,3.0,-0.10000000000000009,0.07,-0.010000000000000009,-0.13000000000000003,18.0,0,4.0,0.46,0.4,0.2,0.0,0.4
1,1.0,1.0,-6.280000000000001,0.0,-3.0,0.08,-3.0,-0.050000000000000044,-0.01999999999999999,-0.06,-0.010000000000000009,-125.0,-7,-53.0,0.15000000000000002,0.15000000000000002,0.020000000000000004,-29.43999999999999,0.6
0,-8.0,-7.0,-4.390000000000001,1.0,3.0,0.13999999999999999,-7.0,0.020000000000000018,0.22,-0.02999999999999997,-0.010000000000000009,-133.0,-2,-40.0,0.12999999999999995,0.12,-0.010000000000000009,-36.96000000000001,0.8
0,-42.0,-38.0,11.59,-3.0,0.0,-0.15,-12.0,-0.050000000000000044,-0.03,-0.18,0.12,-49.0,1,-38.0,-1.8000000000000003,-1.6099999999999999,-0.51,6.8500000000000085,0.6
0,-51.0,-39.0,3.379999999999999,-3.0,-3.0,0.06000000000000001,-14.0,-0.19999999999999996,0.06000000000000001,0.08999999999999997,0.22000000000000003,-328.0,0,-41.0,-0.6299999999999999,-0.48,-0.1,-37.79999999999999,0.43000000000000005
1,-20.0,-18.0,3.5500000000000007,-1.0,0.0,-0.04,-1.0,-0.07000000000000006,0.0,0.08000000000000002,0.050000000000000044,-130.0,0,-20.0,-0.73,-0.66,-0.04,-12.280000000000001,-1.0
0,-43.0,-29.0,6.400000000000002,-2.0,-3.0,-0.009999999999999995,-13.0,-0.10000000000000009,-0.05,-0.02999999999999997,0.07,-154.0,-2,-97.0,-0.84,-0.57,-0.16999999999999998,-21.019999999999992,0.12000000000000002
0,-49.0,-43.0,9.270000000000003,2.0,-3.0,0.06,7.0,-0.020000000000000018,-0.05,-0.040000000000000036,0.10000000000000003,-173.0,-2,-128.0,-0.98,-0.86,0.2,-14.18,0.29
0,-45.0,-32.0,3.429999999999996,-4.0,-7.0,-0.15000000000000002,-4.0,0.030000000000000027,-0.23,0.010000000000000009,0.13,-21.0,-1,12.0,-1.49,-1.06,-0.18,8.650000000000006,-0.26000000000000006
1,-6.0,-6.0,0.31999999999999673,2.0,-2.0,0.04000000000000001,2.0,-0.020000000000000018,-0.23,-0.07,0.06999999999999995,24.0,0,23.0,-1.0,-0.9199999999999999,0.04000000000000001,6.170000000000002,0.0
0,2.0,8.0,-1.4299999999999997,3.0,-2.0,0.05,1.0,-0.07000000000000006,-0.05,0.22,0.20999999999999996,51.0,-2,126.0,0.010000000000000009,0.17,-0.010000000000000009,5.399999999999999,0.21000000000000002
1,20.0,16.0,-7.240000000000002,4.0,6.0,0.09000000000000001,2.0,-0.020000000000000018,0.12,0.06,0.02999999999999997,16.0,-1,17.0,0.41,0.32,0.07,-9.04999999999999,0.25
1,7.0,7.0,-2.59,1.0,6.0,0.0,8.0,0.030000000000000027,0.12,-0.010000000000000009,-0.030000000000000027,124.0,-3,111.0,0.020000000000000018,0.06,0.15,16.09999999999998,-0.7
1,-30.0,-30.0,-2.9299999999999997,-4.0,-5.0,-0.08,-12.0,-0.020000000000000018,-0.06,0.06,0.17,16.0,-5,44.0,-0.48000000000000004,-0.5,-0.21999999999999997,-12.200000000000024,0.0
1,-22.0,-17.0,-2.460000000000001,-3.0,-3.0,-0.03,-4.0,-0.09999999999999987,0.01999999999999999,-0.13,-0.10999999999999999,-136.0,1,9.0,-0.16000000000000003,-0.16000000000000003,-0.010000000000000009,-21.380000000000003,-0.16000000000000003
1,-26.0,-26.0,-5.330000000000002,-2.0,-4.0,-0.039999999999999994,1.0,-0.050000000000000044,-0.09,-0.06,0.02999999999999997,60.0,-8,63.0,-0.55,-0.5499999999999999,0.03999999999999998,-3.7800000000000225,-0.16999999999999998
0,-302.0,-225.0,1.4000000000000021,-13.0,-23.0,-0.24000000000000002,-21.0,0.0,-0.45,-0.26000000000000006,0.08999999999999997,-311.0,1,-171.0,-5.7700000000000005,-4.32,-0.25000000000000006,-19.300000000000004,-0.32999999999999996
1,-169.0,-130.0,5.349999999999998,-8.0,-17.0,-0.16,-11.0,-0.17999999999999994,-0.35,-0.26,-0.03999999999999998,-191.0,-1,-109.0,-3.44,-2.65,-0.22999999999999998,1.049999999999983,-0.3
0,-17.0,-15.0,-4.090000000000003,-2.0,-3.0,-0.05,5.0,-0.07000000000000006,-0.07,-0.04999999999999999,-0.02999999999999997,40.0,-6,43.0,-0.42,-0.36,-0.020000000000000018,23.169999999999987,-0.17
0,-3.0,-4.0,2.789999999999999,0.0,-1.0,0.0,12.0,-0.11999999999999988,-0.05,-0.06999999999999995,-0.040000000000000036,79.0,-1,68.0,-0.29000000000000004,-0.30000000000000004,0.12000000000000001,56.290000000000006,0.0
1,-12.0,-6.0,-3.539999999999999,-2.0,-2.0,-0.26,-1.0,-0.029999999999999805,-0.26,-0.44000000000000006,-0.37,-6.0,0,-8.0,-1.54,-0.77,-0.19,7.199999999999999,-1.0
0,0.0,-1.0,-1.4499999999999993,0.0,-1.0,-0.21,2.0,-0.1599999999999997,-0.25,-0.31999999999999995,-0.04999999999999999,67.0,1,4.0,-4.5200000000000005,-2.4,-0.14,23.770000000000003,-0.6699999999999999
1,15.0,5.0,-6.609999999999999,0.0,-1.0,-0.28,7.0,0.07000000000000006,-0.30000000000000004,-0.22,0.12,84.0,1,6.0,-0.5599999999999999,-0.69,-0.21999999999999997,31.35,-0.47000000000000003
1,-3.0,-2.0,-9.3,0.0,0.0,-0.020000000000000004,3.0,-0.029999999999999805,-0.010000000000000002,-0.25,-0.22999999999999998,-18.0,1,-9.0,-0.37,-0.2,0.0,11.660000000000004,-0.08999999999999997
1,-98.0,-60.0,-3.5600000000000023,-5.0,-4.0,-0.16,-3.0,-0.10999999999999988,-0.12,-0.08000000000000002,0.25,-122.0,1,-33.0,-3.39,-2.0900000000000003,-0.010000000000000009,-7.289999999999992,-0.39
1,-16.0,-6.0,-5.550000000000001,0.0,0.0,-0.009999999999999998,-1.0,-0.07999999999999985,-0.009999999999999998,0.10999999999999999,0.16999999999999998,83.0,2,30.0,-0.5,-0.19,-0.039999999999999994,9.460000000000008,0.5
1,-19.0,-18.0,-4.150000000000002,0.0,-3.0,0.0,-5.0,0.050000000000000044,-0.09,0.03999999999999998,0.14,75.0,0,46.0,-0.65,-0.5900000000000001,-0.16,10.520000000000003,0.0
1,1.0,0.0,-8.89,-1.0,-2.0,-0.12,-3.0,-0.17999999999999972,-0.3,-0.16999999999999998,0.06,83.0,-1,59.0,-0.36,-0.29000000000000004,-0.28,22.969999999999995,0.5
1,14.0,13.0,-4.159999999999997,-1.0,4.0,-0.05,-5.0,0.050000000000000044,0.13,-0.07999999999999996,-0.11000000000000004,42.0,2,43.0,0.31999999999999984,0.33999999999999997,-0.2,4.020000000000007,0.6699999999999999
0,10.0,18.0,-2.7600000000000016,-4.0,-8.0,-0.06999999999999999,-17.0,-0.04999999999999982,-0.06,0.12,0.11000000000000004,-13.0,0,-12.0,2.2199999999999998,1.7200000000000002,-0.39,-21.479999999999997,0.72
0,51.0,36.0,-5.149999999999995,-7.0,4.0,-0.15,-24.0,-0.04999999999999982,0.15,0.12,0.03999999999999998,-121.0,0,-55.0,1.7800000000000002,1.23,-0.5499999999999999,-11.830000000000002,0.6799999999999999
0,-14.0,-7.0,9.110000000000003,-2.0,-3.0,-0.19,-3.0,0.020000000000000018,-0.29,0.06,0.030000000000000027,-18.0,0,3.0,-1.08,-0.39999999999999997,-0.29,-6.040000000000003,-0.67
1,-19.0,-18.0,7.02,-5.0,-2.0,-0.17,-9.0,0.0,-0.07,-0.04999999999999999,0.07,-127.0,0,-12.0,-0.6,-0.5700000000000001,-0.3,-10.620000000000001,-0.56
1,-3.0,-2.0,8.07,0.0,0.0,0.0,-1.0,-0.07999999999999985,0.0,0.13,0.26,121.0,0,66.0,-1.0799999999999998,-0.8400000000000001,-0.23,17.42,0.0
0,-17.0,-6.0,10.080000000000002,0.0,0.0,0.0,-1.0,0.0,0.0,0.020000000000000018,0.08999999999999997,50.0,0,-11.0,-0.51,-0.19,-0.03,1.7199999999999989,0.5
1,6.0,4.0,5.570000000000004,-5.0,-3.0,-0.17,-12.0,0.10000000000000009,-0.1,0.12,0.16999999999999998,31.0,1,74.0,0.13,0.1,-0.4,5.240000000000002,0.54
1,5.0,-4.0,9.8,1.0,-6.0,0.03,1.0,0.050000000000000044,-0.38,0.020000000000000018,0.10999999999999999,69.0,2,12.0,-0.99,-0.9800000000000001,0.03,16.870000000000005,1.0
0,18.0,6.0,6.670000000000002,-2.0,-7.0,-0.020000000000000004,-2.0,0.020000000000000018,-0.12,-0.11000000000000004,0.0,106.0,0,32.0,0.67,0.32,0.0,-15.980000000000004,-0.16999999999999993
0,32.0,21.0,7.839999999999996,1.0,0.0,-0.020000000000000004,0.0,-0.07999999999999985,-0.09000000000000001,0.27,0.32,187.0,3,83.0,0.6699999999999999,0.45999999999999996,-0.21000000000000002,23.519999999999996,0.2
1,12.0,3.0,1.3800000000000026,1.0,2.0,0.030000000000000002,4.0,-0.10999999999999988,0.05,0.06,0.13,-110.0,-1,-17.0,0.39000000000000007,0.13999999999999996,0.11,-6.210000000000015,-0.6
0,-1.0,-3.0,2.8000000000000043,1.0,1.0,0.020000000000000004,4.0,-0.07999999999999985,0.03,0.18,0.27,114.0,3,57.0,-0.14999999999999997,-0.21999999999999997,0.12000000000000001,10.149999999999991,-0.6
1,-12.0,-4.0,1.7899999999999991,1.0,0.0,0.26,2.0,0.1499999999999999,0.0,0.09999999999999998,-0.13,-218.0,-2,-136.0,0.92,1.09,0.51,-43.12000000000001,0.5
