height_x,weight_x,reach_x,fx_win,fight_time_x,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,height_y,weight_y,reach_y,fight_time_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y
1.91,205.0,1.93,0,29.999999999999996,31.45,4.47,0.5,9.7,0.67,0.0,0.0,0.36,0.0,0.7,1.93,205.0,2.08,15.0,30.05,4.4,0.69,4.4,0.69,0.0,0.0,0.0,0.0,0.75
1.96,250.0,2.06,1,15.0,26.19,4.87,0.57,2.93,0.59,0.0,0.0,0.22,0.0,0.8,1.85,245.0,1.9,15.0,31.92,4.0,0.62,3.6,0.39,1.0,1.0,0.0,0.0,1.0
1.96,250.0,2.06,0,21.980000000000004,26.74,3.96,0.55,3.91,0.64,0.0,0.0,0.33,0.68,0.82,1.85,253.0,1.9,15.330000000000002,33.36,8.09,0.66,8.94,0.71,0.0,0.0,0.5,0.98,0.68
1.88,170.0,1.93,1,15.0,26.97,3.8,0.48,1.6,0.32,6.0,0.6,0.0,0.0,0.8,1.8,170.0,1.9,34.790000000000006,25.48,3.25,0.67,3.25,0.67,4.74,0.85,0.85,6.04,0.61
1.78,155.0,1.83,1,7.82,30.9,4.86,0.84,4.86,0.84,1.92,1.0,1.0,1.92,0.76,1.73,155.0,1.83,45.77,28.41,3.47,0.34,4.44,0.41,0.0,0.0,0.33,0.0,0.79
1.73,155.0,1.83,0,37.95,28.41,3.95,0.34,4.35,0.37,0.0,0.0,0.0,0.0,0.85,1.78,155.0,1.83,7.82,30.9,4.86,0.84,4.86,0.84,1.92,1.0,1.0,1.92,0.76
1.73,155.0,1.83,0,45.77,28.41,3.47,0.34,4.44,0.41,0.0,0.0,0.33,0.0,0.79,1.78,155.0,1.83,7.82,30.9,4.86,0.84,4.86,0.84,1.92,1.0,1.0,1.92,0.76
1.78,155.0,1.83,0,15.640000000000002,31.11,4.86,0.84,3.01,0.65,1.92,1.0,0.5,1.92,0.74,1.85,155.0,1.85,41.4,30.83,5.1,0.56,3.55,0.42,2.17,0.6,0.2,0.36,0.63
1.78,155.0,1.83,1,20.310000000000002,32.19,4.38,0.75,3.1,0.58,1.48,1.0,0.67,1.48,0.73,1.73,155.0,1.85,18.799999999999997,28.3,1.91,0.33,1.91,0.33,5.59,0.58,0.6,0.0,0.89
1.78,155.0,1.83,1,35.31,32.8,3.0,0.65,2.32,0.43,2.12,0.83,0.29,0.85,0.75,1.78,155.0,1.78,7.630000000000001,23.93,6.95,0.66,1.44,0.37,5.9,0.6,0.0,1.97,1.0
1.78,155.0,1.83,1,29.260000000000005,32.89,2.43,0.57,1.64,0.3,2.05,0.8,0.17,0.51,0.76,1.73,155.0,1.83,31.900000000000006,30.41,2.73,0.42,3.76,0.55,2.82,0.33,0.42,0.0,0.68
1.78,155.0,1.83,1,29.260000000000005,32.89,2.43,0.57,2.63,0.43,2.05,0.8,0.33,0.51,0.76,1.73,155.0,1.83,31.900000000000006,30.41,2.73,0.42,3.76,0.55,2.82,0.33,0.42,0.0,0.68
1.73,155.0,1.83,0,39.080000000000005,30.41,2.58,0.38,4.63,0.56,3.07,0.4,0.41,0.38,0.67,1.78,155.0,1.83,29.260000000000005,32.89,2.43,0.57,2.63,0.43,2.05,0.8,0.33,0.51,0.76
1.73,155.0,1.83,0,31.900000000000006,30.41,2.73,0.42,3.76,0.55,2.82,0.33,0.42,0.0,0.68,1.78,155.0,1.83,29.260000000000005,32.89,2.43,0.57,2.63,0.43,2.05,0.8,0.33,0.51,0.76
1.78,155.0,1.83,0,32.410000000000004,33.81,2.96,0.68,2.16,0.42,2.31,0.83,0.17,0.93,0.75,1.83,155.0,1.9,40.91,36.67,4.01,0.51,5.04,0.5,1.47,0.33,0.27,0.37,0.8
1.78,155.0,1.83,0,32.410000000000004,34.73,3.49,0.62,2.28,0.47,0.93,1.0,0.33,0.93,0.74,1.8,155.0,1.9,42.019999999999996,33.39,2.64,0.44,3.62,0.53,2.5,0.35,0.18,0.36,0.59
1.73,135.0,1.73,0,14.999999999999998,29.96,3.0,0.4,4.87,0.37,0.0,0.0,0.15,0.0,0.86,1.75,135.0,1.83,14.999999999999998,22.26,3.67,0.56,3.67,0.56,0.0,0.0,0.0,1.0,0.91
1.73,135.0,1.73,0,26.97,31.46,3.41,0.42,4.38,0.4,0.0,0.0,0.28,0.0,0.75,1.7,135.0,1.78,15.0,28.47,5.53,0.39,5.53,0.39,0.0,0.0,0.0,0.0,0.73
1.57,115.0,1.63,1,15.0,27.83,3.33,0.54,8.73,0.77,2.0,0.4,0.5,1.0,0.76,1.68,115.0,1.73,15.0,26.64,2.13,0.55,7.93,0.73,0.0,0.0,1.0,0.0,0.88
1.78,155.0,1.8,1,15.0,31.86,2.0,0.41,5.87,0.45,2.0,1.0,0.0,0.0,0.71,1.75,155.0,1.85,44.43999999999999,38.14,3.49,0.43,3.49,0.43,0.68,0.4,0.4,0.0,0.66
1.78,155.0,1.8,0,16.87,32.18,2.49,0.42,5.51,0.44,2.67,1.0,0.0,0.89,0.69,1.75,155.0,1.78,53.83000000000001,36.57,3.25,0.53,5.61,0.57,0.56,0.2,0.42,0.28,0.79
1.78,155.0,1.8,0,31.870000000000005,32.83,3.89,0.55,5.77,0.49,1.41,1.0,1.0,0.47,0.7,1.8,170.0,1.85,25.019999999999996,21.24,6.91,0.66,6.91,0.74,3.6,0.4,0.33,1.2,0.82
1.7,170.0,1.73,0,23.32,34.32,4.16,0.59,3.99,0.37,2.57,0.8,0.0,0.64,0.57,1.83,170.0,1.93,61.11999999999999,30.94,6.95,0.7,6.15,0.68,1.72,0.37,0.41,0.25,0.79
1.73,145.0,1.73,1,15.0,30.61,3.4,0.52,6.8,0.65,0.0,0.0,0.09,0.0,0.71,1.73,145.0,1.8,27.28,27.06,6.63,0.57,6.63,0.57,0.55,1.0,1.0,0.0,0.75
1.73,145.0,1.73,0,30.000000000000004,31.64,3.6,0.55,6.53,0.6,1.0,0.33,0.08,0.0,0.67,1.75,155.0,1.83,51.019999999999996,25.24,5.14,0.51,4.66,0.48,1.18,0.21,0.15,0.59,0.82
1.73,145.0,1.73,0,35.7,32.1,3.7,0.51,6.78,0.58,0.84,0.29,0.07,0.0,0.63,1.8,145.0,1.75,49.88,22.83,6.11,0.48,5.21,0.43,0.0,0.0,0.0,0.6,0.85
1.73,145.0,1.73,0,38.88,32.41,3.68,0.49,7.2,0.58,0.77,0.29,0.07,0.0,0.65,1.73,145.0,1.7,30.230000000000004,28.98,5.43,0.55,5.43,0.55,2.98,0.55,0.55,0.5,0.69
1.78,155.0,1.78,1,15.0,26.49,5.73,0.47,3.13,0.3,4.0,1.0,0.0,0.0,0.56,1.75,155.0,1.8,8.829999999999998,26.17,7.02,0.55,7.02,0.55,3.4,1.0,1.0,1.7,1.18
1.78,155.0,1.78,0,45.0,27.07,4.96,0.44,4.2,0.37,2.0,0.46,0.17,0.33,0.55,1.78,155.0,1.85,39.6,28.5,4.34,0.45,4.34,0.45,1.14,0.25,0.25,0.38,0.75
1.78,155.0,1.78,1,50.95,27.35,4.99,0.46,4.1,0.38,2.06,0.5,0.17,0.88,0.5,1.7,155.0,1.8,59.99999999999999,34.59,3.97,0.39,3.97,0.39,0.75,0.25,0.25,0.25,0.58
1.78,155.0,1.78,1,48.38,27.52,5.39,0.45,4.53,0.38,0.93,0.3,0.18,0.93,0.54,1.73,155.0,1.75,32.28000000000002,30.11,4.24,0.53,3.84,0.44,0.93,1.0,0.25,0.0,0.56
1.78,155.0,1.78,1,40.03,27.76,5.15,0.43,3.72,0.35,0.37,0.33,0.07,1.12,0.57,1.78,155.0,1.8,52.230000000000025,30.69,3.64,0.45,5.59,0.49,1.44,0.33,0.38,1.44,0.63
1.78,155.0,1.78,1,33.6,27.93,6.52,0.43,3.87,0.36,0.89,0.4,0.0,0.89,0.6,1.8,170.0,1.88,54.980000000000004,30.39,6.46,0.65,5.51,0.55,1.36,0.56,0.3,1.09,0.74
1.78,155.0,1.78,1,42.65,29.98,5.7,0.39,4.6,0.39,0.35,0.08,0.0,0.0,0.62,1.78,170.0,1.83,46.43000000000002,35.31,3.94,0.51,4.63,0.55,0.97,0.25,0.33,0.0,0.73
1.78,155.0,1.78,0,31.85,30.94,5.09,0.38,4.49,0.43,0.47,0.08,0.0,0.0,0.65,1.78,155.0,1.78,51.150000000000006,29.54,9.25,0.67,6.28,0.6,4.11,0.41,0.35,0.29,1.0
1.78,155.0,1.78,1,50.19999999999999,31.63,3.45,0.37,5.86,0.47,0.3,0.08,0.38,0.0,0.61,1.75,170.0,1.96,49.150000000000006,26.28,7.41,0.63,6.55,0.62,2.75,0.38,0.29,0.61,0.75
1.78,155.0,1.78,0,66.63,32.01,3.35,0.41,5.75,0.45,0.0,0.0,0.45,0.0,0.63,1.85,155.0,1.85,43.46000000000001,36.1,4.21,0.49,5.04,0.49,0.69,0.17,0.33,0.35,0.7
1.78,155.0,1.78,0,76.63,32.43,3.37,0.42,5.7,0.42,0.0,0.0,0.45,0.0,0.65,1.83,155.0,1.9,20.33999999999999,29.64,8.8,0.51,7.87,0.53,0.0,0.0,0.25,0.74,0.74
1.88,185.0,1.85,1,15.0,22.64,1.2,0.27,3.93,0.61,0.0,0.0,0.56,0.0,0.8,1.85,170.0,1.88,7.800000000000001,26.18,3.08,0.67,1.41,0.48,3.85,1.0,0.5,0.0,0.75
1.88,185.0,1.85,0,27.750000000000004,22.95,3.21,0.47,2.99,0.5,0.54,0.33,0.42,1.08,0.73,1.98,185.0,2.01,3.9800000000000004,24.4,5.53,0.61,5.53,0.61,3.77,1.0,1.0,3.77,0.57
